Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
15,7500000,MergeSort,1750,161908281,true
15,7500000,HybridMergeSort,1337,172257247,true
15,10000000,MergeSort,2588,220101216,true
15,10000000,HybridMergeSort,2636,226421136,true
16,1000,MergeSort,1,8704,true
16,1000,HybridMergeSort,0,10185,true
16,2000,MergeSort,0,19385,true
16,2000,HybridMergeSort,0,22812,true
16,3000,MergeSort,0,30886,true
16,3000,HybridMergeSort,1,33648,true
16,4000,MergeSort,1,42790,true
16,4000,HybridMergeSort,1,49404,true
16,5000,MergeSort,1,55180,true
16,5000,HybridMergeSort,1,58600,true
16,10000,MergeSort,3,120504,true
16,10000,HybridMergeSort,2,127152,true
16,20000,MergeSort,8,260861,true
16,20000,HybridMergeSort,4,274198,true
16,30000,MergeSort,12,408574,true
16,30000,HybridMergeSort,7,451581,true
16,40000,MergeSort,16,561818,true
16,40000,HybridMergeSort,12,588518,true
16,50000,MergeSort,21,718079,true
16,50000,HybridMergeSort,10,770079,true
16,100000,MergeSort,41,1536252,true
16,100000,HybridMergeSort,24,1639747,true
16,500000,MergeSort,124,8836879,true
16,500000,HybridMergeSort,86,9606902,true
16,1000000,MergeSort,246,18674372,true
16,1000000,HybridMergeSort,183,20228656,true
16,1500000,MergeSort,418,28911025,true
16,1500000,HybridMergeSort,594,30275715,true
16,2000000,MergeSort,588,39347877,true
16,2000000,HybridMergeSort,568,42448391,true
16,2500000,MergeSort,566,50024537,true
16,2500000,HybridMergeSort,552,51606865,true
16,5000000,MergeSort,1260,105051076,true
16,5000000,HybridMergeSort,1031,108205537,true
16,7500000,MergeSort,2017,161907012,true
16,7500000,HybridMergeSort,1552,172260117,true
16,10000000,MergeSort,2367,220096467,true
16,10000000,HybridMergeSort,2298,226427329,true
20,1000,MergeSort,0,8714,true
20,1000,HybridMergeSort,0,10222,true
20,2000,MergeSort,0,19429,true
20,2000,HybridMergeSort,0,22353,true
20,3000,MergeSort,0,30933,true
20,3000,HybridMergeSort,0,33680,true
20,4000,MergeSort,1,42837,true
20,4000,HybridMergeSort,0,49736,true
20,5000,MergeSort,2,55208,true
20,5000,HybridMergeSort,0,67149,true
20,10000,MergeSort,3,120392,true
20,10000,HybridMergeSort,1,143639,true
20,20000,MergeSort,3,260925,true
20,20000,HybridMergeSort,3,306888,true
20,30000,MergeSort,4,408618,true
20,30000,HybridMergeSort,4,450972,true
20,40000,MergeSort,8,561740,true
20,40000,HybridMergeSort,6,653571,true
20,50000,MergeSort,10,718072,true
20,50000,HybridMergeSort,6,769456,true
20,100000,MergeSort,18,1536673,true
20,100000,HybridMergeSort,14,1639508,true
20,500000,MergeSort,132,8837295,true
20,500000,HybridMergeSort,87,9611759,true
20,1000000,MergeSort,228,18674437,true
20,1000000,HybridMergeSort,166,20220998,true
20,1500000,MergeSort,347,28910340,true
20,1500000,HybridMergeSort,260,30272585,true
20,2000000,MergeSort,433,39346787,true
20,2000000,HybridMergeSort,363,42447302,true
20,2500000,MergeSort,530,50024880,true
20,2500000,HybridMergeSort,611,55575662,true
20,5000000,MergeSort,1383,105049311,true
20,5000000,HybridMergeSort,1002,116151567,true
20,7500000,MergeSort,1772,161908779,true
20,7500000,HybridMergeSort,1366,172252873,true
20,10000000,MergeSort,2325,220101109,true
20,10000000,HybridMergeSort,2432,242323020,true
25,1000,MergeSort,0,8679,true
25,1000,HybridMergeSort,0,10204,true
25,2000,MergeSort,1,19421,true
25,2000,HybridMergeSort,0,22722,true
25,3000,MergeSort,0,30936,true
25,3000,HybridMergeSort,2,40085,true
25,4000,MergeSort,0,42731,true
25,4000,HybridMergeSort,0,49263,true
25,5000,MergeSort,1,55221,true
25,5000,HybridMergeSort,1,66506,true
25,10000,MergeSort,2,120503,true
25,10000,HybridMergeSort,2,144210,true
25,20000,MergeSort,6,260994,true
25,20000,HybridMergeSort,3,306556,true
25,30000,MergeSort,7,408675,true
25,30000,HybridMergeSort,4,451827,true
25,40000,MergeSort,10,561744,true
25,40000,HybridMergeSort,7,653188,true
25,50000,MergeSort,19,718052,true
25,50000,HybridMergeSort,10,879841,true
25,100000,MergeSort,27,1536317,true
25,100000,HybridMergeSort,17,1864764,true
25,500000,MergeSort,140,8837852,true
25,500000,HybridMergeSort,89,9606538,true
25,1000000,MergeSort,241,18673914,true
25,1000000,HybridMergeSort,188,20226442,true
25,1500000,MergeSort,350,28910754,true
25,1500000,HybridMergeSort,262,33334184,true
25,2000000,MergeSort,673,39347883,true
25,2000000,HybridMergeSort,368,42442918,true
25,2500000,MergeSort,545,50026466,true
25,2500000,HybridMergeSort,462,55588810,true
25,5000000,MergeSort,1323,105049613,true
25,5000000,HybridMergeSort,1144,116170678,true
25,7500000,MergeSort,2309,161907128,true
25,7500000,HybridMergeSort,1643,172252702,true
25,10000000,MergeSort,2424,220099458,true
25,10000000,HybridMergeSort,1899,242325322,true
30,1000,MergeSort,0,8719,true
30,1000,HybridMergeSort,0,12581,true
30,2000,MergeSort,0,19433,true
30,2000,HybridMergeSort,0,27133,true
30,3000,MergeSort,0,30923,true
30,3000,HybridMergeSort,0,40070,true
30,4000,MergeSort,1,42772,true
30,4000,HybridMergeSort,0,58676,true
30,5000,MergeSort,1,55226,true
30,5000,HybridMergeSort,0,66757,true
30,10000,MergeSort,1,120518,true
30,10000,HybridMergeSort,1,143261,true
30,20000,MergeSort,4,260865,true
30,20000,HybridMergeSort,2,307639,true
30,30000,MergeSort,6,408456,true
30,30000,HybridMergeSort,4,536279,true
30,40000,MergeSort,8,561784,true
30,40000,HybridMergeSort,4,653970,true
30,50000,MergeSort,9,717861,true
30,50000,HybridMergeSort,7,881231,true
30,100000,MergeSort,18,1536274,true
30,100000,HybridMergeSort,10,1860730,true
30,500000,MergeSort,94,8837449,true
30,500000,HybridMergeSort,68,11092426,true
30,1000000,MergeSort,210,18674906,true
30,1000000,HybridMergeSort,174,23184722,true
30,1500000,MergeSort,331,28910767,true
30,1500000,HybridMergeSort,233,33343501,true
30,2000000,MergeSort,412,39348806,true
30,2000000,HybridMergeSort,312,48350542,true
30,2500000,MergeSort,625,50025936,true
30,2500000,HybridMergeSort,550,55585634,true
30,5000000,MergeSort,1577,105050716,true
30,5000000,HybridMergeSort,1165,116157614,true
30,7500000,MergeSort,2013,161905423,true
30,7500000,HybridMergeSort,1746,192729780,true
30,10000000,MergeSort,2238,220101459,true
30,10000000,HybridMergeSort,2057,242319189,true
32,1000,MergeSort,0,8715,true
32,1000,HybridMergeSort,0,13461,true
32,2000,MergeSort,1,19397,true
32,2000,HybridMergeSort,0,28860,true
32,3000,MergeSort,1,30891,true
32,3000,HybridMergeSort,1,40291,true
32,4000,MergeSort,1,42834,true
32,4000,HybridMergeSort,1,61396,true
32,5000,MergeSort,1,55220,true
32,5000,HybridMergeSort,1,66417,true
32,10000,MergeSort,2,120438,true
32,10000,HybridMergeSort,1,143087,true
32,20000,MergeSort,5,260887,true
32,20000,HybridMergeSort,3,306533,true
32,30000,MergeSort,10,408547,true
32,30000,HybridMergeSort,6,536280,true
32,40000,MergeSort,8,561804,true
32,40000,HybridMergeSort,5,653194,true
32,50000,MergeSort,11,718345,true
32,50000,HybridMergeSort,7,881666,true
32,100000,MergeSort,22,1536076,true
32,100000,HybridMergeSort,15,1862914,true
32,500000,MergeSort,131,8836750,true
32,500000,HybridMergeSort,81,11101578,true
