Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
8,30000,HybridMergeSort,5,419393,true
8,40000,MergeSort,9,561732,true
8,40000,HybridMergeSort,5,570115,true
8,50000,MergeSort,8,718033,true
8,50000,HybridMergeSort,6,728632,true
8,100000,MergeSort,17,1536466,true
8,100000,HybridMergeSort,14,1558282,true
8,500000,MergeSort,106,8836619,true
8,500000,HybridMergeSort,80,9036118,true
8,1000000,MergeSort,199,18673984,true
8,1000000,HybridMergeSort,158,19074366,true
8,1500000,MergeSort,296,28911321,true
8,1500000,HybridMergeSort,259,29183063,true
8,2000000,MergeSort,434,39347099,true
8,2000000,HybridMergeSort,363,40143811,true
8,2500000,MergeSort,517,50025035,true
8,2500000,HybridMergeSort,419,50786178,true
8,5000000,MergeSort,1142,105050159,true
8,5000000,HybridMergeSort,900,106573333,true
8,7500000,MergeSort,1661,161909133,true
8,7500000,HybridMergeSort,1435,164403177,true
8,10000000,MergeSort,2388,220103471,true
8,10000000,HybridMergeSort,1973,223151316,true
10,1000,MergeSort,1,8689,true
10,1000,HybridMergeSort,0,9210,true
10,2000,MergeSort,0,19402,true
10,2000,HybridMergeSort,0,20258,true
10,3000,MergeSort,2,30926,true
10,3000,HybridMergeSort,0,31897,true
10,4000,MergeSort,1,42813,true
10,4000,HybridMergeSort,0,44538,true
10,5000,MergeSort,2,55250,true
10,5000,HybridMergeSort,0,58508,true
10,10000,MergeSort,2,120469,true
10,10000,HybridMergeSort,1,127188,true
10,20000,MergeSort,3,260901,true
10,20000,HybridMergeSort,3,274015,true
10,30000,MergeSort,6,408519,true
10,30000,HybridMergeSort,4,419097,true
10,40000,MergeSort,7,561996,true
10,40000,HybridMergeSort,5,588325,true
10,50000,MergeSort,8,718157,true
10,50000,HybridMergeSort,7,728927,true
10,100000,MergeSort,25,1536308,true
10,100000,HybridMergeSort,17,1557212,true
10,500000,MergeSort,96,8836787,true
10,500000,HybridMergeSort,84,9035377,true
10,1000000,MergeSort,209,18674848,true
10,1000000,HybridMergeSort,175,19071494,true
10,1500000,MergeSort,305,28910519,true
10,1500000,HybridMergeSort,254,29725094,true
10,2000000,MergeSort,502,39347719,true
10,2000000,HybridMergeSort,396,40145567,true
10,2500000,MergeSort,994,50025257,true
10,2500000,HybridMergeSort,972,51604962,true
10,5000000,MergeSort,1179,105050211,true
10,5000000,HybridMergeSort,867,108206979,true
10,7500000,MergeSort,1674,161906860,true
10,7500000,HybridMergeSort,1389,164411503,true
10,10000000,MergeSort,2170,220101328,true
10,10000000,HybridMergeSort,2298,226411900,true
15,1000,MergeSort,0,8686,true
15,1000,HybridMergeSort,0,10423,true
15,2000,MergeSort,0,19415,true
15,2000,HybridMergeSort,0,22716,true
15,3000,MergeSort,1,30986,true
15,3000,HybridMergeSort,0,33918,true
15,4000,MergeSort,1,42792,true
15,4000,HybridMergeSort,0,49226,true
15,5000,MergeSort,1,55178,true
15,5000,HybridMergeSort,0,58557,true
15,10000,MergeSort,1,120385,true
15,10000,HybridMergeSort,1,127207,true
15,20000,MergeSort,3,260859,true
15,20000,HybridMergeSort,2,273861,true
15,30000,MergeSort,4,408553,true
15,30000,HybridMergeSort,4,451705,true
15,40000,MergeSort,7,561736,true
15,40000,HybridMergeSort,4,587964,true
15,50000,MergeSort,8,718259,true
15,50000,HybridMergeSort,6,769748,true
15,100000,MergeSort,17,1536228,true
15,100000,HybridMergeSort,11,1640461,true
15,500000,MergeSort,86,8837556,true
15,500000,HybridMergeSort,72,9610532,true
15,1000000,MergeSort,193,18674519,true
15,1000000,HybridMergeSort,144,20222256,true
15,1500000,MergeSort,280,28910422,true
15,1500000,HybridMergeSort,224,30274027,true
15,2000000,MergeSort,428,39346851,true
15,2000000,HybridMergeSort,343,42455833,true
15,2500000,MergeSort,593,50024235,true
15,2500000,HybridMergeSort,537,51606277,true
15,5000000,MergeSort,1117,105049690,true
15,5000000,HybridMergeSort,1018,108204407,true
15,7500000,MergeSort,1592,161909290,true
15,7500000,HybridMergeSort,1385,172254570,true
15,10000000,MergeSort,2433,220097992,true
15,10000000,HybridMergeSort,2311,226426848,true
16,1000,MergeSort,0,8706,true
16,1000,HybridMergeSort,0,10456,true
16,2000,MergeSort,1,19384,true
16,2000,HybridMergeSort,0,22657,true
16,3000,MergeSort,0,30899,true
16,3000,HybridMergeSort,1,33856,true
16,4000,MergeSort,0,42818,true
16,4000,HybridMergeSort,1,49092,true
16,5000,MergeSort,0,55180,true
16,5000,HybridMergeSort,1,58386,true
16,10000,MergeSort,2,120433,true
16,10000,HybridMergeSort,1,126978,true
16,20000,MergeSort,3,260926,true
16,20000,HybridMergeSort,2,274294,true
16,30000,MergeSort,5,408639,true
16,30000,HybridMergeSort,3,451776,true
16,40000,MergeSort,5,561749,true
16,40000,HybridMergeSort,4,588447,true
16,50000,MergeSort,7,718318,true
16,50000,HybridMergeSort,5,770314,true
16,100000,MergeSort,15,1536380,true
16,100000,HybridMergeSort,14,1639368,true
16,500000,MergeSort,93,8837748,true
16,500000,HybridMergeSort,78,9609483,true
16,1000000,MergeSort,230,18673775,true
16,1000000,HybridMergeSort,165,20222678,true
16,1500000,MergeSort,324,28910100,true
16,1500000,HybridMergeSort,260,30272851,true
16,2000000,MergeSort,430,39349385,true
16,2000000,HybridMergeSort,389,42447531,true
16,2500000,MergeSort,580,50027162,true
16,2500000,HybridMergeSort,407,51604447,true
16,5000000,MergeSort,1077,105050282,true
16,5000000,HybridMergeSort,874,108208967,true
16,7500000,MergeSort,1615,161905975,true
16,7500000,HybridMergeSort,1296,172260306,true
16,10000000,MergeSort,2100,220100408,true
16,10000000,HybridMergeSort,1795,226419030,true
20,1000,MergeSort,0,8708,true
20,1000,HybridMergeSort,0,10340,true
20,2000,MergeSort,0,19385,true
20,2000,HybridMergeSort,0,22552,true
20,3000,MergeSort,0,30881,true
20,3000,HybridMergeSort,0,33777,true
20,4000,MergeSort,1,42820,true
20,4000,HybridMergeSort,0,49225,true
20,5000,MergeSort,1,55249,true
20,5000,HybridMergeSort,1,66669,true
20,10000,MergeSort,1,120484,true
20,10000,HybridMergeSort,1,143551,true
20,20000,MergeSort,3,260956,true
20,20000,HybridMergeSort,2,306764,true
20,30000,MergeSort,5,408599,true
20,30000,HybridMergeSort,3,451886,true
20,40000,MergeSort,8,561572,true
20,40000,HybridMergeSort,6,654020,true
20,50000,MergeSort,10,718262,true
20,50000,HybridMergeSort,7,769580,true
20,100000,MergeSort,18,1536418,true
20,100000,HybridMergeSort,13,1639337,true
20,500000,MergeSort,101,8836930,true
20,500000,HybridMergeSort,86,9611495,true
20,1000000,MergeSort,204,18674189,true
20,1000000,HybridMergeSort,177,20220550,true
20,1500000,MergeSort,343,28909369,true
20,1500000,HybridMergeSort,285,30279082,true
20,2000000,MergeSort,413,39348029,true
20,2000000,HybridMergeSort,311,42447991,true
20,2500000,MergeSort,498,50025589,true
20,2500000,HybridMergeSort,398,55578970,true
20,5000000,MergeSort,1133,105050698,true
20,5000000,HybridMergeSort,897,116157799,true
20,7500000,MergeSort,2358,161907834,true
20,7500000,HybridMergeSort,1470,172254569,true
20,10000000,MergeSort,2261,220101223,true
20,10000000,HybridMergeSort,1744,242322061,true
25,1000,MergeSort,0,8722,true
25,1000,HybridMergeSort,0,10247,true
25,2000,MergeSort,0,19363,true
25,2000,HybridMergeSort,0,22496,true
25,3000,MergeSort,0,30908,true
25,3000,HybridMergeSort,0,40115,true
25,4000,MergeSort,1,42785,true
25,4000,HybridMergeSort,0,49209,true
25,5000,MergeSort,1,55175,true
25,5000,HybridMergeSort,0,66125,true
25,10000,MergeSort,2,120401,true
25,10000,HybridMergeSort,1,143204,true
25,20000,MergeSort,3,260853,true
25,20000,HybridMergeSort,2,307422,true
25,30000,MergeSort,5,408663,true
25,30000,HybridMergeSort,3,452203,true
25,40000,MergeSort,5,561729,true
25,40000,HybridMergeSort,5,653896,true
25,50000,MergeSort,7,718326,true
25,50000,HybridMergeSort,6,881553,true
25,100000,MergeSort,17,1536553,true
25,100000,HybridMergeSort,11,1860737,true
25,500000,MergeSort,90,8837307,true
25,500000,HybridMergeSort,63,9613248,true
25,1000000,MergeSort,196,18674388,true
25,1000000,HybridMergeSort,195,20219029,true
25,1500000,MergeSort,320,28909963,true
25,1500000,HybridMergeSort,239,33341712,true
25,2000000,MergeSort,407,39348628,true
25,2000000,HybridMergeSort,345,42441097,true
25,2500000,MergeSort,606,50025287,true
25,2500000,HybridMergeSort,370,55581631,true
25,5000000,MergeSort,1038,105049000,true
25,5000000,HybridMergeSort,815,116149181,true
25,7500000,MergeSort,1554,161908010,true
25,7500000,HybridMergeSort,1355,172247696,true
25,10000000,MergeSort,2143,220100285,true
25,10000000,HybridMergeSort,1709,242310434,true
30,1000,MergeSort,0,8708,true
30,1000,HybridMergeSort,0,12721,true
30,2000,MergeSort,1,19424,true
30,2000,HybridMergeSort,0,27330,true
30,3000,MergeSort,0,30881,true
30,3000,HybridMergeSort,1,40235,true
30,4000,MergeSort,0,42849,true
30,4000,HybridMergeSort,1,58688,true
30,5000,MergeSort,0,55250,true
30,5000,HybridMergeSort,1,66564,true
30,10000,MergeSort,1,120541,true
30,10000,HybridMergeSort,1,143639,true
30,20000,MergeSort,3,260916,true
30,20000,HybridMergeSort,2,307077,true
30,30000,MergeSort,5,408476,true
30,30000,HybridMergeSort,4,535960,true
30,40000,MergeSort,5,561737,true
30,40000,HybridMergeSort,3,652865,true
30,50000,MergeSort,6,718111,true
30,50000,HybridMergeSort,5,880354,true
30,100000,MergeSort,15,1536428,true
30,100000,HybridMergeSort,12,1863306,true
30,500000,MergeSort,90,8837955,true
30,500000,HybridMergeSort,72,11090992,true
30,1000000,MergeSort,188,18674863,true
30,1000000,HybridMergeSort,139,23180066,true
30,1500000,MergeSort,289,28910089,true
30,1500000,HybridMergeSort,243,33339331,true
30,2000000,MergeSort,435,39348113,true
30,2000000,HybridMergeSort,298,48362911,true
30,2500000,MergeSort,499,50025177,true
30,2500000,HybridMergeSort,392,55581647,true
30,5000000,MergeSort,1089,105050222,true
30,5000000,HybridMergeSort,814,116162934,true
30,7500000,MergeSort,1564,161905137,true
30,7500000,HybridMergeSort,1245,192737305,true
30,10000000,MergeSort,2290,220098847,true
30,10000000,HybridMergeSort,1878,242319480,true
32,1000,MergeSort,0,8689,true
32,1000,HybridMergeSort,0,13743,true
32,2000,MergeSort,0,19401,true
32,2000,HybridMergeSort,0,28567,true
32,3000,MergeSort,1,30879,true
32,3000,HybridMergeSort,0,40266,true
32,4000,MergeSort,0,42862,true
32,4000,HybridMergeSort,1,62360,true
32,5000,MergeSort,1,55260,true
32,5000,HybridMergeSort,0,66785,true
32,10000,MergeSort,2,120416,true
32,10000,HybridMergeSort,0,143327,true
32,20000,MergeSort,3,260967,true
32,20000,HybridMergeSort,2,307103,true
32,30000,MergeSort,5,408571,true
32,30000,HybridMergeSort,3,534909,true
32,40000,MergeSort,6,561689,true
32,40000,HybridMergeSort,5,654390,true
32,50000,MergeSort,10,717978,true
32,50000,HybridMergeSort,7,882527,true
32,100000,MergeSort,15,1536404,true
32,100000,HybridMergeSort,12,1861714,true
32,500000,MergeSort,96,8837250,true
32,500000,HybridMergeSort,76,11090525,true
32,1000000,MergeSort,214,18673821,true
32,1000000,HybridMergeSort,177,23188046,true
32,1500000,MergeSort,317,28911201,true
32,1500000,HybridMergeSort,216,33337190,true
32,2000000,MergeSort,393,39347915,true
32,2000000,HybridMergeSort,318,48363393,true
32,2500000,MergeSort,497,50024328,true
32,2500000,HybridMergeSort,382,55575606,true
32,5000000,MergeSort,1061,105049388,true
32,5000000,HybridMergeSort,879,116159123,true
32,7500000,MergeSort,1857,161905400,true
32,7500000,HybridMergeSort,1281,192746841,true
32,10000000,MergeSort,2166,220102583,true
32,10000000,HybridMergeSort,1709,242300864,true
35,1000,MergeSort,0,8711,true
35,1000,HybridMergeSort,0,13453,true
35,2000,MergeSort,1,19394,true
35,2000,HybridMergeSort,0,28218,true
35,3000,MergeSort,0,30928,true
35,3000,HybridMergeSort,1,40635,true
35,4000,MergeSort,0,42798,true
35,4000,HybridMergeSort,0,61200,true
35,5000,MergeSort,0,55203,true
35,5000,HybridMergeSort,1,66861,true
35,10000,MergeSort,1,120417,true
35,10000,HybridMergeSort,1,143899,true
35,20000,MergeSort,3,260973,true
35,20000,HybridMergeSort,2,307112,true
35,30000,MergeSort,4,408701,true
35,30000,HybridMergeSort,4,534809,true
35,40000,MergeSort,7,561897,true
35,40000,HybridMergeSort,4,653221,true
35,50000,MergeSort,8,718274,true
35,50000,HybridMergeSort,5,882200,true
35,100000,MergeSort,18,1536557,true
35,100000,HybridMergeSort,13,1862270,true
35,500000,MergeSort,98,8836918,true
35,500000,HybridMergeSort,74,11091809,true
35,1000000,MergeSort,200,18673620,true
35,1000000,HybridMergeSort,123,23191239,true
35,1500000,MergeSort,269,28911189,true
35,1500000,HybridMergeSort,226,33347928,true
35,2000000,MergeSort,428,39347674,true
35,2000000,HybridMergeSort,315,48364972,true
35,2500000,MergeSort,558,50025604,true
35,2500000,HybridMergeSort,398,55577845,true
35,5000000,MergeSort,1200,105052132,true
35,5000000,HybridMergeSort,1001,116159098,true
35,7500000,MergeSort,1659,161904680,true
35,7500000,HybridMergeSort,1266,192739547,true
35,10000000,MergeSort,2204,220101207,true
35,10000000,HybridMergeSort,1685,242319634,true
40,1000,MergeSort,0,8714,true
40,1000,HybridMergeSort,0,13272,true
40,2000,MergeSort,0,19391,true
40,2000,HybridMergeSort,0,28650,true
