Threshold,Array Size,Algorithm,Time (ms),Comparisons
45,3000,HybridMergeSort,1,42224
45,5000,MergeSort,2,39068
45,5000,HybridMergeSort,0,86817
45,10000,MergeSort,5,95062
45,10000,HybridMergeSort,1,183614
45,20000,MergeSort,13,179385
45,20000,HybridMergeSort,3,386461
45,30000,MergeSort,51,296351
45,30000,HybridMergeSort,3,536412
45,50000,MergeSort,94,521011
45,50000,HybridMergeSort,7,880749
45,100000,MergeSort,357,1133090
45,100000,HybridMergeSort,14,1860829
45,200000,MergeSort,1089,2437715
45,200000,HybridMergeSort,25,3923261
45,300000,MergeSort,2189,3508469
45,300000,HybridMergeSort,44,6825608
45,500000,MergeSort,6646,6377697
45,500000,HybridMergeSort,77,11094185
45,1000000,MergeSort,40279,13698530
45,1000000,HybridMergeSort,157,23179710
50,1000,MergeSort,0,6722
50,1000,HybridMergeSort,0,13525
50,2000,MergeSort,0,14012
50,2000,HybridMergeSort,1,28888
50,3000,MergeSort,1,22907
50,3000,HybridMergeSort,0,54741
50,5000,MergeSort,1,40259
50,5000,HybridMergeSort,0,87293
50,10000,MergeSort,4,89020
50,10000,HybridMergeSort,1,183641
50,20000,MergeSort,22,191230
50,20000,HybridMergeSort,2,385959
50,30000,MergeSort,23,300631
50,30000,HybridMergeSort,4,536242
50,50000,MergeSort,70,543046
50,50000,HybridMergeSort,6,1140746
50,100000,MergeSort,547,1102642
50,100000,HybridMergeSort,14,2380970
50,200000,MergeSort,1684,2391101
50,200000,HybridMergeSort,24,4961608
50,300000,MergeSort,1960,3670646
50,300000,HybridMergeSort,44,6817046
50,500000,MergeSort,10023,6369237
50,500000,HybridMergeSort,81,11094493
50,1000000,MergeSort,53643,13546962
50,1000000,HybridMergeSort,162,23188371
55,1000,MergeSort,0,6667
55,1000,HybridMergeSort,0,13391
55,2000,MergeSort,1,13777
55,2000,HybridMergeSort,0,29094
55,3000,MergeSort,1,22249
55,3000,HybridMergeSort,0,55865
55,5000,MergeSort,1,40108
55,5000,HybridMergeSort,1,86754
55,10000,MergeSort,5,87709
55,10000,HybridMergeSort,2,184185
55,20000,MergeSort,21,194360
55,20000,HybridMergeSort,2,387190
55,30000,MergeSort,24,296030
55,30000,HybridMergeSort,4,535995
55,50000,MergeSort,90,528955
55,50000,HybridMergeSort,6,1142717
55,100000,MergeSort,428,1127158
55,100000,HybridMergeSort,12,2384270
55,200000,MergeSort,648,2296489
55,200000,HybridMergeSort,26,4964595
55,300000,MergeSort,2532,3639699
55,300000,HybridMergeSort,51,6821749
55,500000,MergeSort,17403,6199345
55,500000,HybridMergeSort,73,11094935
55,1000000,MergeSort,29024,13356082
55,1000000,HybridMergeSort,158,23187928
60,1000,MergeSort,1,6126
60,1000,HybridMergeSort,0,13511
60,2000,MergeSort,0,14062
60,2000,HybridMergeSort,0,28677
60,3000,MergeSort,1,22222
60,3000,HybridMergeSort,0,55428
60,5000,MergeSort,2,39473
60,5000,HybridMergeSort,1,87032
60,10000,MergeSort,3,85265
60,10000,HybridMergeSort,0,184392
60,20000,MergeSort,17,195634
60,20000,HybridMergeSort,2,387387
60,30000,MergeSort,53,294730
60,30000,HybridMergeSort,4,731178
60,50000,MergeSort,113,527753
60,50000,HybridMergeSort,6,1142418
60,100000,MergeSort,275,1086096
60,100000,HybridMergeSort,14,2380883
60,200000,MergeSort,1814,2360842
60,200000,HybridMergeSort,31,4964024
60,300000,MergeSort,4146,3614291
60,300000,HybridMergeSort,46,6818426
60,500000,MergeSort,12360,6280499
60,500000,HybridMergeSort,73,14332463
60,1000000,MergeSort,58150,13310056
60,1000000,HybridMergeSort,174,29655121
65,1000,MergeSort,0,6607
65,1000,HybridMergeSort,0,20614
65,2000,MergeSort,1,13122
65,2000,HybridMergeSort,0,42852
65,3000,MergeSort,1,22411
65,3000,HybridMergeSort,1,54957
65,5000,MergeSort,1,41170
65,5000,HybridMergeSort,1,86444
65,10000,MergeSort,4,89190
65,10000,HybridMergeSort,1,183655
65,20000,MergeSort,22,186715
65,20000,HybridMergeSort,2,388312
65,30000,MergeSort,47,292876
65,30000,HybridMergeSort,6,727122
65,50000,MergeSort,102,532528
65,50000,HybridMergeSort,6,1142652
65,100000,MergeSort,307,1092998
65,100000,HybridMergeSort,12,2381078
65,200000,MergeSort,2111,2341641
65,200000,HybridMergeSort,26,4960376
65,300000,MergeSort,2587,3589331
65,300000,HybridMergeSort,42,6817596
65,500000,MergeSort,14455,6656755
65,500000,HybridMergeSort,91,14449105
65,1000000,MergeSort,66311,13386620
65,1000000,HybridMergeSort,151,29905111
70,1000,MergeSort,0,6778
70,1000,HybridMergeSort,0,20734
70,2000,MergeSort,0,14660
70,2000,HybridMergeSort,0,42649
70,3000,MergeSort,1,22025
70,3000,HybridMergeSort,0,54890
70,5000,MergeSort,3,39357
70,5000,HybridMergeSort,0,87513
70,10000,MergeSort,6,85016
70,10000,HybridMergeSort,1,182865
70,20000,MergeSort,14,187508
70,20000,HybridMergeSort,2,387003
70,30000,MergeSort,23,289494
70,30000,HybridMergeSort,4,728902
70,50000,MergeSort,48,511740
70,50000,HybridMergeSort,7,1146314
