Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
89,88,204,67,0.022472,31684,1056
419,418,884,106,0.004773,702244,5016
113,112,274,77,0.017699,51076,1344
482,481,1573,153,0.004149,929296,5772
272,271,633,106,0.007353,295936,3252
888,887,366766,20255,0.002252,3154176,10644
157,156,562,99,0.012739,98596,1872
204,203,429,78,0.009804,166464,2436
193,192,932,132,0.010363,148996,2304
519,518,72189,5114,0.003854,1077444,6216
44,43,137,64,0.045455,7744,516
951,950,2012,215,0.002103,3617604,11400
596,595,1274,131,0.003356,1420864,7140
301,300,640,99,0.006645,362404,3600
681,680,23295,1220,0.002937,1855044,8160
619,618,128968,7843,0.003231,1532644,7416
308,307,27307,2652,0.006494,379456,3684
517,516,1594,204,0.003868,1069156,6192
282,281,597,112,0.007092,318096,3372
858,857,1759,192,0.002331,2944656,10284
584,583,2729,252,0.003425,1364224,6996
301,300,2269,255,0.006645,362404,3600
405,404,916,121,0.004938,656100,4848
721,720,2522,255,0.002774,2079364,8640
141,140,942,165,0.014184,79524,1680
283,282,23533,2561,0.007067,320356,3384
866,865,1927,209,0.002309,2999824,10380
938,937,7652,637,0.002132,3519376,11244
24,23,128,89,0.083333,2304,276
775,774,2777,275,0.002581,2402500,9288
100,99,435,106,0.020000,40000,1188
214,213,497,93,0.009346,183184,2556
303,302,1886,229,0.006601,367236,3624
85,84,304,87,0.023529,28900,1008
332,331,19320,1744,0.006024,440896,3972
170,169,3597,549,0.011765,115600,2028
935,934,7988,567,0.002139,3496900,11208
424,423,1088,142,0.004717,719104,5076
974,973,3962,353,0.002053,3794704,11676
664,663,35905,1581,0.003012,1763584,7956
731,730,37630,1923,0.002736,2137444,8760
661,660,84605,4892,0.003026,1747684,7920
419,418,1645,191,0.004773,702244,5016
764,763,3111,275,0.002618,2334784,9156
517,516,1263,158,0.003868,1069156,6192
794,793,1761,203,0.002519,2521744,9516
235,234,3255,376,0.008511,220900,2808
966,965,2002,212,0.002070,3732624,11580
78,77,191,67,0.025641,24336,924
33,32,371,213,0.060606,4356,384
648,647,1377,152,0.003086,1679616,7764
988,987,7208,486,0.002024,3904576,11844
919,918,30389,1233,0.002176,3378244,11016
300,299,1515,155,0.006667,360000,3588
136,135,320,73,0.014706,73984,1620
621,620,1321,160,0.003221,1542564,7440
65,64,272,96,0.030769,16900,768
896,895,1898,215,0.002232,3211264,10740
87,86,1455,426,0.022989,30276,1032
735,734,1485,177,0.002721,2160900,8808
604,603,7386,520,0.003311,1459264,7236
