Vertices,Edges,Time Array (Method 1),Time Array (Method 2)
863,862,2704,248
497,496,17891,1244
691,690,1241,154
692,691,19925,1154
952,951,2305,256
558,557,3019,254
712,711,1599,186
860,859,1534,170
977,976,1807,221
44,43,179,91
672,671,1382,171
175,174,1401,222
84,83,215,62
723,722,2385,206
359,358,1878,158
850,849,1740,234
135,134,3153,612
866,865,48119,2431
500,499,1363,232
634,633,1495,197
352,351,4967,514
202,201,831,148
594,593,8373,604
224,223,644,108
250,249,738,113
593,592,103640,8927
61,60,215,90
813,812,2426,215
805,804,1555,204
94,93,1691,472
75,74,667,212
653,652,1244,164
80,79,179,64
790,789,1438,186
388,387,2591,238
713,712,1421,182
114,113,253,74
799,798,63731,3396
712,711,16663,1015
155,154,6712,1281
238,237,563,114
969,968,49374,2266
452,451,907,126
123,122,254,70
773,772,1311,167
400,399,689,105
162,161,1373,239
381,380,1044,127
605,604,1020,139
977,976,1628,202
589,588,1603,161
553,552,944,129
424,423,1235,142
643,642,1151,149
329,328,2788,279
525,524,1595,185
455,454,4686,380
469,468,12310,992
341,340,11610,1255
806,805,5002,427
561,560,1281,182
317,316,9238,970
991,990,131914,7394
429,428,3201,303
44,43,226,113
681,680,1403,180
173,172,320,78
62,61,147,57
661,660,5699,477
383,382,751,117
914,913,7203,511
99,98,428,123
189,188,2289,398
30,29,115,71
590,589,1145,155
875,874,1557,179
969,968,1825,235
920,919,9982,682
613,612,2015,160
741,740,3879,265
816,815,1184,151
645,644,971,129
623,622,157259,16602
961,960,5721,507
79,78,343,119
838,837,9859,586
740,739,1041,123
546,545,778,108
178,177,402,74
775,774,1077,137
139,138,441,93
417,416,638,94
986,985,1499,191
362,361,570,88
814,813,1170,152
408,407,612,91
607,606,901,121
11,10,54,41
103,102,2582,692
153,152,1689,339
405,404,4462,471
811,810,66759,3986
856,855,4828,386
941,940,1735,218
504,503,5337,438
925,924,1712,218
364,363,1598,166
906,905,2754,259
799,798,4322,320
672,671,5006,402
587,586,901,112
526,525,57946,4662
293,292,1985,219
845,844,56571,3098
518,517,1615,167
461,460,5471,457
916,915,1240,139
450,449,1013,111
347,346,467,75
972,971,3921,370
629,628,4989,325
912,911,197217,12803
7,6,102,140
226,225,433,91
976,975,1687,209
681,680,1161,149
349,348,1354,154
597,596,2250,192
724,723,23256,1442
350,349,5207,569
422,421,6329,529
116,115,184,50
263,262,1777,216
560,559,834,114
533,532,802,115
145,144,355,78
356,355,3832,363
