Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
982,291137,5022294,6239145,0.604431,3857296,3493644
961,348201,4861089,6558287,0.754858,3694084,4178412
806,231175,3762667,3604876,0.712590,2598544,2774100
984,331715,4933251,6182870,0.685877,3873024,3980580
448,164052,897642,2658964,1.638423,802816,1968624
193,34652,150316,592356,1.870250,148996,415824
745,32295,1846992,701981,0.116530,2220100,387540
580,126448,1842321,2276011,0.753070,1345600,1517376
164,2878,106951,75715,0.215322,107584,34536
625,358353,1481608,8898135,1.837708,1562500,4300236
4,6,68,115,1.000000,64,72
556,284300,1111654,7842596,1.842634,1236544,3411600
2,1,37,45,1.000000,16,12
555,290640,989226,5620162,1.890526,1232100,3487680
732,496663,1730968,6308376,1.856365,2143296,5959956
326,31231,566372,786378,0.589542,425104,374772
648,170639,2188487,4127145,0.814009,1679616,2047668
729,242616,2883956,4743939,0.914304,2125764,2911392
387,51257,793110,969875,0.686254,599076,615084
414,66784,1073200,1200887,0.781182,685584,801408
145,14517,132644,249379,1.390517,84100,174204
673,127939,2252527,1845909,0.565781,1811716,1535268
779,507725,2553015,5972830,1.675489,2427364,6092700
194,13993,207482,332219,0.747449,150544,167916
454,174832,875620,2691693,1.700188,824464,2097984
132,9122,101479,196279,1.055054,69696,109464
749,18812,1775335,508217,0.067155,2244004,225744
877,223247,3750331,3406422,0.581182,3076516,2678964
295,43485,505435,673411,1.002767,348100,521820
132,8760,100664,176830,1.013185,69696,105120
454,111520,1136688,1691408,1.084498,824464,1338240
960,788760,3627256,9036160,1.713504,3686400,9465120
428,44757,878827,942300,0.489801,732736,537084
716,36377,1872781,796876,0.142114,2050624,436524
924,515144,4532649,7605451,1.208050,3415104,6181728
345,49654,656933,759098,0.836771,476100,595848
2,1,42,49,1.000000,16,12
762,143002,2727690,2136946,0.493211,2322576,1716024
72,4105,14606,54948,1.606025,20736,49260
401,103333,854668,1365364,1.288441,643204,1239996
83,4715,30962,89601,1.385542,27556,56580
69,1422,15140,25845,0.606138,19044,17064
599,197878,1920933,4136880,1.104840,1435204,2374536
357,34229,627990,727460,0.538649,509796,410748
594,107247,1766789,1548357,0.608939,1411344,1286964
133,9397,99913,171014,1.070517,70756,112764
76,3769,23924,64719,1.322456,23104,45228
804,135750,2891619,2646594,0.420531,2585664,1629000
617,165702,2103763,2462753,0.871951,1522756,1988424
917,476541,4883815,10782188,1.134659,3363556,5718492
